ImageName	TimePoint	DayAfterInduction
Image5D_bf3541_SPOT10.tif	7	d16
Image5D_bf3541_SPOT10.tif	8	d17
Image5D_bf3541_SPOT10.tif	9	d20
Image5D_bf3541_SPOT11.tif	1	d7
Image5D_bf3541_SPOT11.tif	2	d8
Image5D_bf3541_SPOT11.tif	3	d9
Image5D_bf3541_SPOT12.tif	1	d7
Image5D_bf3541_SPOT12.tif	2	d10
Image5D_bf3541_SPOT12.tif	3	d11
Image5D_bf3541_SPOT12.tif	4	d12
Image5D_bf3541_SPOT12.tif	5	d13
Image5D_bf3541_SPOT12.tif	6	d14
Image5D_bf3541_SPOT12.tif	7	d15
Image5D_bf3541_SPOT12.tif	8	d20
Image5D_bf3541_SPOT3.tif	1	d5
Image5D_bf3541_SPOT3.tif	2	d6
Image5D_bf3541_SPOT3.tif	3	d7
Image5D_bf3541_SPOT4.tif	1	d5
Image5D_bf3541_SPOT4.tif	2	d6
Image5D_bf3541_SPOT5.tif	1	d5
Image5D_bf3541_SPOT5.tif	2	d6
Image5D_bf3541_SPOT6.tif	1	d5
Image5D_bf3541_SPOT6.tif	2	d7
Image5D_bf3541_SPOT6.tif	3	d8
Image5D_bf3541_SPOT6.tif	4	d9
Image5D_bf3541_SPOT6.tif	5	d10
Image5D_bf3541_SPOT7.tif	1	d5
Image5D_bf3541_SPOT7.tif	2	d6
Image5D_bf3541_SPOT7.tif	3	d7
Image5D_bf3541_SPOT7.tif	4	d8
Image5D_bf3541_SPOT7.tif	5	d9
Image5D_bf3541_SPOT7.tif	6	d10
Image5D_bf3541_SPOT7.tif	7	d11
Image5D_bf3541_SPOT7.tif	8	d12
Image5D_bf3541_SPOT7.tif	9	d13
Image5D_bf3541_SPOT7.tif	10	d14
Image5D_bf3541_SPOT7.tif	11	d16
Image5D_bf3541_SPOT9.tif	1	d5
Image5D_bf3541_SPOT9.tif	2	d6
Image5D_bf3541_SPOT9.tif	3	d7
Image5D_bf3541_SPOT9.tif	4	d8
Image5D_bf3541_SPOT9.tif	5	d9
Image5D_bf3541_SPOT9.tif	6	d11
Image5D_bf3541_SPOT9.tif	7	d12
Image5D_bf3541_SPOT9.tif	8	d13
Image5D_bf3541_SPOT9.tif	9	d14
Image5D_bf3541_SPOT9.tif	10	d16
Image5D_bf3541_SPOT9.tif	11	d20

Image5D_bf3347_SPOT1.tif	1	d3
Image5D_bf3347_SPOT1.tif	2	d4
Image5D_bf3347_SPOT1.tif	3	d8
Image5D_bf3347_SPOT1.tif	4	d9
Image5D_bf3347_SPOT1.tif	5	d10
Image5D_bf3347_SPOT1.tif	6	d11
Image5D_bf3347_SPOT1.tif	7	d12
Image5D_bf3347_SPOT1.tif	8	d13
Image5D_bf3347_SPOT1.tif	9	d14
Image5D_bf3347_SPOT1.tif	10	d15
Image5D_bf3347_SPOT1.tif	11	d16
Image5D_bf3347_SPOT1.tif	12	d19
Image5D_bf3347_SPOT1.tif	13	d21
Image5D_bf3347_SPOT1.tif	14	d25
Image5D_bf3347_SPOT1.tif	15	d31
Image5D_bf3347_SPOT1.tif	16	d35
Image5D_bf3347_SPOT1.tif	17	d50
Image5D_bf3347_SPOT1.tif	18	d58
Image5D_bf3347_SPOT11.tif	1	d8
Image5D_bf3347_SPOT11.tif	2	d9
Image5D_bf3347_SPOT11.tif	3	d10
Image5D_bf3347_SPOT11.tif	4	d11
Image5D_bf3347_SPOT11.tif	5	d12
Image5D_bf3347_SPOT11.tif	6	d15
Image5D_bf3347_SPOT11.tif	7	d21
Image5D_bf3347_SPOT11.tif	8	d31
Image5D_bf3347_SPOT11.tif	9	d50
Image5D_bf3347_SPOT11.tif	10	d58
Image5D_bf3347_SPOT12.tif	1	d8
Image5D_bf3347_SPOT12.tif	2	d9
Image5D_bf3347_SPOT12.tif	3	d10
Image5D_bf3347_SPOT12.tif	4	d11
Image5D_bf3347_SPOT12.tif	5	d12
Image5D_bf3347_SPOT12.tif	6	d15
Image5D_bf3347_SPOT12.tif	7	d17
Image5D_bf3347_SPOT12.tif	8	d20
Image5D_bf3347_SPOT12.tif	9	d21
Image5D_bf3347_SPOT12.tif	10	d31
Image5D_bf3347_SPOT13.tif	1	d8
Image5D_bf3347_SPOT13.tif	2	d9
Image5D_bf3347_SPOT13.tif	3	d10
Image5D_bf3347_SPOT13.tif	4	d11
Image5D_bf3347_SPOT13.tif	5	d12
Image5D_bf3347_SPOT13.tif	6	d15
Image5D_bf3347_SPOT13.tif	7	d16
Image5D_bf3347_SPOT13.tif	8	d17
Image5D_bf3347_SPOT13.tif	9	d18
Image5D_bf3347_SPOT13.tif	10	d19
Image5D_bf3347_SPOT13.tif	11	d21
Image5D_bf3347_SPOT13.tif	12	d25
Image5D_bf3347_SPOT13.tif	13	d31
Image5D_bf3347_SPOT13.tif	14	d50
Image5D_bf3347_SPOT13.tif	15	d58
Image5D_bf3347_SPOT14.tif	1	d8
Image5D_bf3347_SPOT14.tif	2	d9
Image5D_bf3347_SPOT14.tif	3	d10
Image5D_bf3347_SPOT14.tif	4	d11
Image5D_bf3347_SPOT14.tif	5	d12
Image5D_bf3347_SPOT14.tif	6	d14
Image5D_bf3347_SPOT14.tif	7	d16
Image5D_bf3347_SPOT14.tif	8	d17
Image5D_bf3347_SPOT14.tif	9	d20
Image5D_bf3347_SPOT14.tif	10	d21
Image5D_bf3347_SPOT14.tif	11	d25
Image5D_bf3347_SPOT14.tif	12	d31
Image5D_bf3347_SPOT14.tif	13	d50
Image5D_bf3347_SPOT14.tif	14	d58
Image5D_bf3347_SPOT2.tif	1	d3
Image5D_bf3347_SPOT2.tif	2	d4
Image5D_bf3347_SPOT2.tif	3	d8
Image5D_bf3347_SPOT2.tif	4	d9
Image5D_bf3347_SPOT2.tif	5	d10
Image5D_bf3347_SPOT2.tif	6	d11
